Rank,Name,Country,Innings played,Average Runs,Points,Age,Strike Rate,Total Runs,Not Out,Adjusted Innings
1,Travis Head,Australia,32,32.53,844,30,150.08,911,4,28
2,Suryakumar Yadav,India,65,43.33,797,33,167.74,2340,11,54
3,Phil Salt,England,29,35.4,797,27,165.11,885,4,25
4,Babar Azam,Pakistan,116,41.03,755,29,129.09,4145,15,101
5,Mohammad Rizwan,Pakistan,89,48.72,746,32,126.45,3313,21,68
6,Yashasvi Jaiswal,India,19,37.82,743,22,162.78,643,2,17
7,Jos Butler,England,114,35.87,716,33,146.37,3264,23,91
8,Ruturaj Gaikwad,India,20,39.56,684,27,143.54,633,4,16
9,Brandon King,West Indies,53,29.06,656,29,134.39,1395,5,48
10,Johnson Charles,West Indies,56,23.25,655,35,131.38,1302,0,56
11,Aiden Markram,South Africa,44,33.54,646,29,143.63,1241,7,37
12,Nicholas Pooran,West Indies,87,26.61,639,28,135.86,2076,9,78
13,Rahmanullah Gurbaz,Afghanistan,63,26.3,636,22,135.49,1657,0,63
14,Quinton De Kock,South Africa,91,31.51,631,31,138.33,2584,9,82
15,Jonny Bairstow,England,72,29.83,629,34,137.53,1671,16,56
16,Reeza Hendricks,South Africa,67,29.87,629,34,129.12,1942,2,65
17,Glenn Phillips,New Zealand,69,32.89,620,27,142.08,1875,12,57
18,Mitchell Marsh,Australia,59,32.43,617,32,133.65,1557,11,48
19,Finn Allen,New Zealand,47,24.27,612,25,158.69,1141,0,47
20,Rilee Rossouw,South Africa,27,34.86,610,34,159.79,767,5,22
